Date,Sum of Mkt-RF2,Sum of SMB2,Sum of HML2,Sum of RMW2,Sum of CMA2,Average of RF
1/2/1996,0.009713975,-0.011164848,0.001464367,0.001284131,0.009322435,0.019
2/1/1996,0.005706954,0.007222061,-0.004603077,0.000722097,-0.007754835,0.02
3/1/1996,0.003121474,0.006686149,0.001451804,0.005486268,-0.004200671,0.019
4/1/1996,0.008931349,0.019472566,-0.017119442,-0.00054508,-0.008402892,0.022
5/1/1996,0.010088192,0.013381318,-0.003953006,0.000714581,-0.001603663,0.019
6/3/1996,-0.00509961,-0.016095416,0.010358964,0.015251218,0.005322334,0.02
7/1/1996,-0.026588152,-0.017693458,0.022949504,0.013312688,0.010667472,0.02
8/1/1996,0.011899257,0.010697365,-0.003179426,-0.001965268,-0.009703207,0.019
9/3/1996,0.02110995,-0.00585396,-0.011293867,0.005546638,-0.009386719,0.022
10/1/1996,0.003846801,-0.016630222,0.021338132,0.006412852,0.012487952,0.018
11/1/1996,0.026241338,-0.015913788,0.005685627,0.008581645,-0.002809464,0.02
12/2/1996,-0.007302239,0.013577018,0.005458785,0.001448326,0.00646395,0.022
1/2/1997,0.021049709,-0.007826437,-0.006314275,0.00501546,-0.000960436,0.02
2/3/1997,-0.002167165,-0.011480198,0.02470988,0.003358076,0.01473827,0.02
3/3/1997,-0.022423181,-0.002380879,0.015356723,0.002273511,0.007097712,0.021
4/1/1997,0.01715624,-0.025142987,0.00052635,0.01383752,-0.004424258,0.02
5/1/1997,0.028123764,0.018703825,-0.016476316,-0.003801362,-0.011744317,0.023
6/2/1997,0.017298306,0.004492667,0.006327316,0.002270321,0.001386933,0.018
7/1/1997,0.030593825,-0.011458114,0.001073124,0.000674358,-0.009927223,0.019
8/1/1997,-0.018271005,0.03267627,0.005284141,-0.005018416,-7.62128E-05,0.02
9/2/1997,0.022562635,0.009433688,0.001287039,-0.006465078,-0.003760219,0.021
10/1/1997,-0.016880309,-0.003053725,0.008575556,0.004432966,0.007993029,0.018
11/3/1997,0.012618023,-0.022066387,0.005202446,0.012127686,0.006835947,0.021
12/1/1997,0.005760924,-0.008822867,0.016014462,0.003538541,0.007829175,0.022
1/2/1998,0.000683344,-0.00605123,-0.006940351,0.003911054,-0.003493715,0.021
