DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
01/24/1990,0.001160373,0.044786447,0.007353214,-0.013646255,0.002814318,0.007929028,0.010033252,0.004047668,0.015455967,0.0078364,0.000181793,,0.004816846,-0.028162279,,0.004760516,0.006163518,0.002465788,0.004971512,-0.039903865,,-0.003020275,-0.012531048,-0.01301171,-0.000815955,0.004796741,0.003709904,-0.013043632,0.005866646
01/25/1990,-0.008579524,-0.021241988,-0.005500201,0.006557127,0.001843609,-0.011041252,-0.008071987,-0.000242307,0.072542526,-0.002594123,0.002529303,,-0.004683887,-0.001490356,,-0.002393455,0.009446983,-0.001459754,-0.001866443,-0.011384517,,0.00052274,0.011592343,0.011030429,0.007549722,0.005976224,-0.001100736,0.010805526,0.008735372
01/26/1990,-0.008605314,0.003264874,0.004072173,-0.008221491,0.001585934,0.009089147,0.003690857,0.00114016,-0.022596689,0.003315262,-0.005279618,,0.000382315,-0.002980156,,0.000378043,0.004819936,-0.007487954,0.012569449,-0.000169107,,-0.006681192,-0.002761551,0.003864343,0.003108438,0.002765005,-0.000370222,0.003259261,0.00435848
01/29/1990,0.000362302,-0.033324586,-0.002699912,-0.008251806,-0.004514451,0.000774007,-0.000780777,-0.010311118,0.003183961,0.001729021,-0.000393614,,-0.000563291,-0.000725311,,0.001652496,-0.003055122,-0.001141242,0.003801067,0.00236019,,-0.000385323,0.006639961,-0.007136331,-0.003885203,-0.002406488,-0.000579961,-0.007191539,-0.002916725
01/30/1990,-0.014129362,0.034541721,0.004367849,-0.004071413,0.009586288,0.001791834,-0.001972774,0.001519156,-0.048741631,0.002366772,0.004132032,,-0.002773566,-0.025331816,,0.008241123,-0.004494971,0.000398458,-0.012328033,-0.014704454,,-0.003253222,0.01097652,0.006504128,0.000290393,-0.002522414,0.003271229,0.005981275,-0.004718099
01/31/1990,-0.056905743,0.037515196,-0.007737549,0.00471429,0.004704269,-0.001969283,0.002617003,-0.004737565,-0.004515467,-0.000786166,8.08808E-05,,0.016050332,0.013738677,,-0.006129446,-0.001782762,0.002858615,-0.018936154,0.004970182,,-0.003658379,-0.016165795,-0.008940381,-0.004290786,-0.002166986,-0.000923764,-0.008272041,-0.002883573
02/01/1990,0.007135695,0.010161949,-0.004648894,-0.002225251,-0.003997916,0.006486758,0.00321677,-0.003611598,-0.006541215,0.00399641,0.002016696,,-0.006133204,-0.025940922,,0.001972878,0.001235885,-0.000757767,-0.001864825,-0.013112571,,0.00592594,-0.007031217,0.002395506,0.001717389,0.001404974,0.001937777,0.0021532,0.001310814
02/02/1990,-0.005483608,0.050232502,0.002073877,-0.003289782,0.010306374,-0.017202315,-0.00258131,0.001426528,-0.015691553,-0.003984491,-0.000631084,,-0.003011442,0.004659529,,-0.000111245,-0.00056611,0.008287974,-0.005792143,0.026380577,,-0.01404027,0.003564708,-0.001640339,-0.001433509,-0.001338126,-0.002461889,-0.001726455,-0.000779505
02/05/1990,0.008754877,-0.032008942,0.014417872,-0.006463513,-0.003363041,-0.009158023,-0.000576927,0.00457854,0.031829241,0.001968784,0.000686765,,0.000426334,0.00211704,,0.005039964,0.00330422,0.004432454,-0.014686783,-0.008070611,,-0.001227304,-0.00437599,0.001342382,0.001770065,0.001967238,-0.000528305,0.000935478,0.003358107
02/06/1990,0.004816755,0.03862893,-0.005773524,0.002965458,0.006749713,0.005320762,0.004845617,0.017564517,-0.05721583,0.008715726,0.006692291,,0.006025762,0.005974922,,0.007050868,0.011447003,-0.000216815,0.016660202,-0.003646153,,-0.004313992,-0.002193418,-0.001322755,0.006083495,0.009495849,0.006468824,-0.001100871,0.011037864
02/07/1990,0.010232854,0.007786662,-0.001529342,0.002041408,0.00939633,0.004186082,-0.007771147,0.002543223,0.025496371,0.004605928,-1.16533E-05,,-0.007023179,0.001852281,,-0.001004022,0.011740436,0.00034316,0.00245309,-0.01692929,,-0.00412938,-0.002363169,-0.004644695,0.004261296,0.008320681,0.001940059,-0.004297331,0.011280785
02/08/1990,-0.007980361,-0.008693595,0.000870377,-0.001257557,0.004675227,0.001096321,-0.004173565,-0.001019506,-0.036390032,-0.009398619,-0.001501079,,-0.007241187,-0.001504568,,-0.004297044,0.010427971,-0.015263855,-0.003796727,-0.003152199,,0.000692616,0.00144021,0.000640823,0.004097389,0.005652652,-0.003067546,0.000541568,0.009600227
02/09/1990,-0.001831939,0.006822669,0.000866872,0.000251405,0.000363269,0.001775609,0.003776643,-0.000764433,0.027102118,-0.002324003,0.003556188,,0.01225026,-0.005584322,,0.001946519,0.010517297,0.007554134,0.015174461,0.003397003,,0.007467933,0.015632617,0.001361069,0.005785597,0.007766471,0.002684382,0.001303156,0.010163564
